Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Item_Visibility,Item_Visibility_MeanRatio,Item_Weight,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9,Outlet_Identifier,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Outlet_Years,source
0,0,1,FDA03,144.1102,2187.153,0,1,0,0.045463773,1.0366952071584155,18.5,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,0,1,FDX32,145.4786,1589.2646,0,1,0,0.1000135,1.026359813124039,15.1,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
0,0,1,FDS46,119.6782,2145.2076,0,1,0,0.047257328,0.922289906298101,17.6,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDF32,196.4426,1977.4260000000002,0,1,0,0.06802430000000001,1.1713313653743493,16.35,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
0,0,1,FDP49,56.3614,1547.3192,0,1,0,0.06908896099999999,1.0280725124413592,9.0,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,1,0,NCB42,115.3492,1621.8888,0,0,1,0.008596051,1.0031395479206202,11.8,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,0,1,FDP49,54.3614,718.3982,0,1,0,0.06919637599999999,1.0296708923753675,9.0,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
1,0,0,DRI11,113.2834,2303.6679999999997,1,0,0,0.034237682,0.8704928693111866,8.26,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
1,0,0,FDU02,230.5352,2748.4224,0,1,0,0.10249212,0.922115518306462,13.35,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
0,0,1,FDN22,250.8724,3775.086,0,1,0,0.138190277,1.1399044941112717,18.85,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
0,0,1,FDW12,144.5444,4064.0432,0,1,0,0.035399923,0.9543090781180374,8.315,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,1,0,NCB30,196.5084,1587.2672,0,0,1,0.025698133999999997,0.8628943947372766,14.6,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
1,0,0,FDC37,107.6938,214.3876,0,1,0,0.057556998,1.5315371875133978,15.5,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
0,0,1,FDR28,165.021,4078.025,0,1,0,0.025896485,0.9296326154440038,13.85,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,1,0,NCD06,45.906000000000006,838.908,0,0,1,0.099887103,0.9275067672165533,13.0,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
0,0,1,FDV10,42.3112,1065.28,0,1,0,0.06669343700000001,1.0602351029427202,7.645,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
1,0,0,DRJ59,39.1164,308.9312,1,0,0,0.019356131999999998,1.035277578029896,11.65,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
0,0,1,FDE51,45.5086,178.4344,0,1,0,0.161466534,1.4445814400022103,5.925,1,0,0,0,0,0,0,0,0,0,OUT010,0,0,1,0,0,1,1,0,0,0,15,train
0,0,1,FDC14,43.6454,125.8362,0,1,0,0.072221801,1.679002681283213,14.5,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
1,0,0,FDV38,55.7956,163.7868,0,1,0,0.17034855100000001,1.4641166675359907,19.25,1,0,0,0,0,0,0,0,0,0,OUT010,0,0,1,0,0,1,1,0,0,0,15,train
0,1,0,NCS17,96.4436,2741.7644,0,0,1,0.080829372,1.0031395405819457,18.6,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
1,0,0,FDP33,256.6672,3068.0064,0,1,0,0.0930934742,1.0,18.7,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
1,0,0,FDO23,93.1436,2174.5028,0,1,0,0.14246229066666669,1.0,17.85,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,DRH01,174.8738,2085.2856,1,0,0,0.097904029,0.9222899199987084,17.5,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,1,0,NCX29,146.7102,3791.0652,0,0,1,0.08929113699999999,0.8760887635003263,10.0,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
0,0,1,FDV20,128.0678,2797.6916,0,1,0,0.059511812000000004,0.9544539631769144,20.2,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,0,1,DRZ11,122.5388,1609.9044,1,0,0,0.113123893,1.003139534910143,8.85,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,0,1,FDX10,36.9874,388.1614,0,1,0,0.12311145300000001,1.0227997426879307,6.384999999999999,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
1,0,0,FDB34,87.6198,2180.495,0,1,0,0.026480953999999998,0.9251308290764401,15.25,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
1,0,0,FDU02,230.6352,3435.528,0,1,0,0.102511504,0.9222899150035627,13.35,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDK43,126.00200000000001,2150.534,0,1,0,0.02681843,0.9215224160526706,9.8,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
1,0,0,FDA46,192.9136,2527.3768,0,1,0,0.117818348,0.9310779364692868,13.6,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
1,0,0,FDC02,259.9278,6768.5228,0,1,0,0.06910283099999999,0.9334195377024116,21.35,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,0,1,FDL50,126.5046,373.5138,0,1,0,0.042277867000000004,0.9980787902561443,12.15,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
1,0,0,FDM39,178.1002,358.2004,0,1,0,0.08949892599999999,1.464116667660315,6.42,1,0,0,0,0,0,0,0,0,0,OUT010,0,0,1,0,0,1,1,0,0,0,15,train
0,1,0,NCP05,153.3024,2428.8384,0,0,1,0.018756953777777776,1.0,19.6,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,FDV49,265.2226,5815.0972,0,1,0,0.025879577,0.9241603460120508,10.0,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
0,0,1,FDL12,60.622,2576.646,0,1,0,0.121632721,0.8747287915078714,15.85,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,0,1,FDS02,196.8794,780.3176,0,1,0,0.25539489600000004,2.0308877247907904,10.195000000000002,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
0,1,0,NCL17,143.8812,3134.5864,0,0,1,0.067779712,0.8747287887220742,7.39,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDM40,141.5154,850.8924,0,1,0,0.159803853,1.0365304276483922,10.195,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
0,0,1,FDR13,117.0492,810.9444,0,1,0,0.028696932,0.8740008759338731,9.895,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
1,0,0,FDA43,196.3794,3121.2704,0,1,0,0.065041581,0.8796766099576357,10.895,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
0,1,0,NCP18,151.4708,4815.0656,0,0,1,0.028760012999999997,0.9275067647960544,12.15,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,FDK21,249.0408,6258.52,0,1,0,0.010053105,0.9334195624341675,7.905,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,1,0,NCX54,106.1622,2117.244,0,0,1,0.048157338,0.9315179298292239,9.195,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,DRK35,38.0506,796.9626,1,0,0,0.071958197,0.8760887617519185,8.365,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
1,0,0,FDY21,194.511,4910.275,0,1,0,0.17348130399999998,1.1416630232284466,15.1,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDI26,180.0344,892.172,0,1,0,0.061082177,1.61481058875214,5.9399999999999995,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
1,0,0,FDM20,246.9144,3185.1872,0,1,0,0.0364918673,1.0,10.0,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,0,1,FDV27,87.3514,1062.6168,0,1,0,0.040071131,0.8503936434710149,7.97,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,FDF09,38.2848,484.7024,0,1,0,0.012090074,0.9251308536486637,6.215,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,0,1,FDY40,51.0692,147.8076,0,1,0,0.15028599,1.8569920498948196,15.5,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
1,0,0,FDY45,255.8356,2543.356,0,1,0,0.026015518999999997,1.1658562566726927,17.5,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
1,0,0,FDC46,185.4266,184.4266,0,1,0,0.195068226,1.5560143953260468,17.7,1,0,0,0,0,0,0,0,0,0,OUT010,0,0,1,0,0,1,1,0,0,0,15,train
1,0,0,FDH19,172.5738,4865.6664,0,1,0,0.033082215,0.9221155127052099,19.35,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
0,0,1,FDZ03,186.024,1118.5439999999999,0,1,0,0.078946455,1.044138187445984,13.65,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,DRH37,164.8526,2302.3364,1,0,0,0.041700756,0.8765027640696678,17.6,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
0,1,0,NCI17,95.84100000000001,2027.361,0,0,1,0.14342264300000002,1.0277767942566969,8.645,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,0,1,FDJ58,170.1764,3435.528,0,1,0,0.10529607199999999,0.8747287875118142,15.6,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,0,1,FDL12,59.222,599.22,0,1,0,0.121531501,0.8740008619873568,15.85,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
1,0,0,FDH35,164.7526,4604.6728,0,1,0,0.05810121044444445,1.0,18.25,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,FDG02,189.6188,2285.0256,0,1,0,0.011324862,0.9275067286121007,7.855,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
0,1,0,NCZ18,254.3698,5580.7356,0,0,1,0.186357148,1.029857103248895,7.825,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
0,0,1,FDC29,114.0176,2290.3520000000003,0,1,0,0.024205661,0.9990697616442725,8.39,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDQ10,172.3422,1207.0954,0,1,0,0.033230816,0.9237238339071363,12.85,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
1,0,0,FDN48,89.9804,643.1628,0,1,0,0.113720344,1.5315372016230429,13.349999999999998,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
1,0,0,FDL04,104.9622,1587.933,0,1,0,0.11255650699999999,0.9275067671896534,19.0,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,FDV25,222.5456,5305.0944,0,1,0,0.04441604033333333,1.0,5.905,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,FDD58,101.87,1697.79,0,1,0,0.05935224099999999,0.8747287866525946,7.76,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,0,1,FDN04,180.3344,1427.4752,0,1,0,0.014087057,1.1416114694007558,11.8,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDV45,187.9556,4693.89,0,1,0,0.045230944,0.9260469457443702,16.75,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,1,0,NCL18,194.6136,583.2408,0,0,1,0.293417759,1.6148105893820424,18.849999999999998,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
0,0,1,FDR12,171.3764,3091.9752,0,1,0,0.031382044,0.8704928746102873,12.599999999999998,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,0,1,FDG20,177.0028,2479.4392,0,1,0,0.12639886,0.9348909885210056,15.5,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,FDZ55,160.99200000000002,2716.4640000000004,0,1,0,0.025403897999999998,0.9988808402357965,6.055,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
0,0,1,FDQ49,155.963,3285.723,0,1,0,0.039057677,0.9541219242227013,20.2,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,0,1,FDN33,95.6436,661.8052,0,1,0,0.123115764,0.9990697475981462,6.305,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDN27,117.2808,1523.3504,0,1,0,0.039624006,1.163307491313076,20.85,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
1,0,0,FDW20,122.17299999999999,369.519,0,1,0,0.040421193,1.7352530512933784,20.75,1,0,0,0,0,0,0,0,0,0,OUT010,0,0,1,0,0,1,1,0,0,0,15,train
1,0,0,DRG27,39.9138,690.4346,1,0,0,0.10527411099999999,1.029670894287246,8.895,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
1,0,0,DRI25,55.1614,1381.535,1,0,0,0.033970195,0.9315179184271948,19.6,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,FDA44,57.893,622.523,0,1,0,0.053212652,0.9294568248579793,19.7,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
0,1,0,NCR17,114.5492,1274.3412,0,0,1,0.024378706,0.9988808191929445,9.8,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
1,0,0,FDU04,120.0414,487.3656,0,1,0,0.009714595,2.03215612351227,7.93,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
1,0,0,FDF41,246.046,1231.73,0,1,0,0.131383762,0.8760887632599259,12.15,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
0,0,1,FDB56,187.4556,3755.112,0,1,0,0.07461309,1.1406381675043848,8.75,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
0,1,0,NCP18,149.9708,4363.6532,0,0,1,0.028459761,0.9178236759482314,12.150000000000002,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,0,1,FDB56,187.8556,1314.2892,0,1,0,0.07462720099999999,1.1408538876304597,8.75,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDT28,151.0708,1805.6496,0,1,0,0.063695084,0.9241603474535889,13.3,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
0,0,1,FDD10,178.5344,2854.9504,0,1,0,0.045797829000000005,1.031674956283392,20.599999999999998,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,0,1,FDW57,179.1028,3896.2616,0,1,0,0.11585722300000001,1.1434172322184795,8.31,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
0,0,1,DRB48,38.7822,667.7974,1,0,0,0.024832806000000002,1.0358550701475788,16.75,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
1,0,0,FDP09,212.0902,3185.853,0,1,0,0.034027909,0.878292065399008,19.75,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,0,1,FDH14,141.1838,2247.7408,0,1,0,0.046769599999999995,0.8740008565954392,17.1,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
0,0,1,FDA47,163.121,1794.3310000000001,0,1,0,0.11657670199999999,1.0269770126654036,10.5,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
0,0,1,FDG12,121.3098,2530.7058,0,1,0,0.004924115333333334,1.0,6.635,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,DRE60,225.372,679.1160000000001,1,0,0,0.278974075,1.6148105888188795,9.394999999999998,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
1,0,0,DRK49,41.4138,812.2760000000001,1,0,0,0.035913805,1.0320655400408245,14.15,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
1,0,0,FDD03,232.53,699.09,0,1,0,0.079806266,0.9990697472460142,13.3,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDS52,102.4016,2732.4432,0,1,0,0.005505481,0.8796765744587313,8.89,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
0,0,1,FDW39,176.937,176.437,0,1,0,0.064625342,2.2590030521565168,6.6899999999999995,0,0,0,0,1,0,0,0,0,0,OUT019,1,0,0,0,0,1,1,0,0,0,28,train
1,0,0,FDX34,121.7098,4097.3332,0,1,0,0.071636937,0.9942317071612333,6.195,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,0,1,FDV11,173.2054,3151.8972,0,1,0,0.078393078375,1.0,9.1,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,FDD17,239.0906,5942.265,0,1,0,0.032677677999999995,0.9600513321983414,7.5,0,0,0,0,0,0,0,0,0,1,OUT049,1,0,0,0,1,0,0,1,0,0,14,train
0,0,1,FDZ16,192.4478,4843.695,0,1,0,0.160760054,0.9643770890741937,16.85,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,FDZ46,109.0228,2542.0244,0,1,0,0.06911065,0.9988808423019978,7.485,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
1,0,0,DRA12,140.3154,2552.6772,1,0,0,0.041177505,1.178594921346777,11.6,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,FDY58,227.0694,1141.847,0,1,0,0.040081193,0.8782920723575603,11.65,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,1,0,NCF19,47.5034,680.4476,0,0,1,0.035307322,0.8796766231887589,13.0,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,DRJ13,159.0578,2085.9514,1,0,0,0.063017847,0.9315179229166382,12.65,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
0,0,1,FDB14,92.512,186.424,0,1,0,0.171938781,1.7289048798428783,20.25,1,0,0,0,0,0,0,0,0,0,OUT010,0,0,1,0,0,1,1,0,0,0,15,train
0,0,1,FDJ38,190.153,3036.048,0,1,0,0.040197932,1.0268322866030557,8.6,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
1,0,0,FDW11,62.7194,866.8716,0,1,0,0.049058014000000004,0.9348909916042781,12.6,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,FDL40,95.041,868.8689999999999,0,1,0,0.01161096,1.1524417273242413,17.7,0,0,0,0,0,0,1,0,0,0,OUT035,0,1,0,0,0,1,0,1,0,0,9,train
1,0,0,DRI49,82.4276,1137.1864,1,0,0,0.183507295,0.9990697492376226,14.15,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDV38,52.7956,928.1252,0,1,0,0.102349519,0.8796766148142436,19.25,0,0,1,0,0,0,0,0,0,0,OUT017,0,1,0,0,0,1,0,1,0,0,6,train
1,0,0,DRG23,151.7682,762.341,1,0,0,0.08670898699999999,1.0363413496738674,8.88,0,1,0,0,0,0,0,0,0,0,OUT013,0,0,1,1,0,0,0,1,0,0,26,train
0,1,0,NCP30,40.2822,707.0796,0,0,1,0.032835147,1.0010958955480702,20.5,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
1,0,0,FDY25,180.5976,7968.2944,0,1,0,0.033809913,1.1363659495637664,12.0,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
0,1,0,NCH54,160.292,1438.128,0,0,1,0.07266912,0.862651744964282,13.5,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
0,1,0,NCR53,224.4404,6976.2524,0,0,1,0.144338493,0.954309088738357,12.150000000000002,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
1,0,0,FDS52,101.7016,101.2016,0,1,0,0.009163216,1.464116661542459,8.89,1,0,0,0,0,0,0,0,0,0,OUT010,0,0,1,0,0,1,1,0,0,0,15,train
1,0,0,FDG02,188.5188,952.0939999999999,0,1,0,0.011307038,0.926046942176665,7.855,0,0,0,1,0,0,0,0,0,0,OUT018,0,0,1,0,1,0,0,0,1,0,4,train
0,1,0,NCO26,116.0492,1969.4364,0,0,1,0.076855628,0.9296326048503732,7.235,0,0,0,0,0,0,0,0,1,0,OUT046,1,0,0,0,0,1,0,1,0,0,16,train
1,0,0,FDH35,165.4526,5262.4832,0,1,0,0.059956876,1.0319385007878608,18.25,0,0,0,0,0,1,0,0,0,0,OUT027,0,0,1,0,1,0,0,0,0,1,28,train
1,0,0,FDB51,60.5852,1314.2892,0,1,0,0.038532062,1.001095885421211,6.92,0,0,0,0,0,0,0,1,0,0,OUT045,0,1,0,0,0,1,0,1,0,0,11,train
